Author,Title,Journal,Year,Volume,Number,Pages,Month,Abstract,Publisher,Address,Type,Language,Affiliation,DOI,ISSN,EISSN,Keywords,Areas,Categories,entry_type,citation_key,Editor,Booktitle,Series,Note,ISBN,Plus,Organization,Affiliations,References,Cited,days,2013,ISO,Index,ID,DA,Numbers,Acknowledgement,Text,EarlyAccessDate,OA
"Mashechkin, I. V. and Petrovskiy, M. I. and Popov, D. S. and Tsarev, D.    V.",Applying text mining methods for data loss prevention,PROGRAMMING AND COMPUTER SOFTWARE,2015,41,1,23-30,JAN,"Currently, the greatest risks for information security of organizations    are internal, rather than external, threats. Data loss prevention (DLP)    systems are used for minimization of risks related to internal threats.    The main function of the DLP systems is to prevent leak of confidential    data; however, comparison of the DLP systems relies currently on their    capabilities to analyze information captured and convenience of carrying    out retrospective investigations of information security incident. In    the paper, a new approach to retrospective analysis of user's text    information is presented. The idea of the proposed approach consists in    topic analysis of the text content processed by the user in the past and    prediction of further user behavior with content. User text content can    cover different categories, including confidential ones. The topic    analysis of user text content assumes determination of main topics and    their weights for given past time intervals. Based on deviations of    behavior of user's operations with a content from the forecast, one can    reveal time intervals when operation with documents of one or another    category differs from normal (historical) work and when the user worked    with documents of unusual categories. The proposed approach was    experimentally verified on an example of actual corporate email    correspondence created from the Enron data set.",MAIK NAUKA/INTERPERIODICA/SPRINGER,"233 SPRING ST, NEW YORK, NY 10013-1578 USA",Article,English,"Mashechkin, IV (Corresponding Author), Moscow MV Lomonosov State Univ, Dept Computat Math \& Cybernet, Moscow 119991, Russia.    Mashechkin, I. V.; Petrovskiy, M. I.; Popov, D. S.; Tsarev, D. V., Moscow MV Lomonosov State Univ, Dept Computat Math \& Cybernet, Moscow 119991, Russia.",10.1134/S0361768815010041,0361-7688,1608-3261,,Computer Science,"Computer Science, Software Engineering",article,WOS:000348319600003,,,,,,NONNEGATIVE MATRIX FACTORIZATION,,,,,,,,,,,,,,,
"Harn, Lein and Ren, Jian and Lin, Changlu",Design of DL-based certificateless digital signatures,JOURNAL OF SYSTEMS AND SOFTWARE,2009,82,5,789-793,MAY,"Public-key cryptosystems without requiring digital certificates are very    attractive in wireless communications due to limitations imposed by    Communication bandwidth and computational resource of the mobile    wireless communication devices. To eliminate public-key digital    certificate, Shamir introduced the concept of the identity-based    (ID-based) cryptosystem. The main advantage of the ID-based cryptosystem    is that instead of using a random integer as each user's public key as    in the traditional public-key systems, the user's real identity, such as    user's name or email address, becomes the user's public key. However,    all identity-based signature (IBS) schemes have the inherent key escrow    problem, that is private key generator (PKG) knows the private key of    each user. As a result, the PKG is able to sign any message on the    users' behalf This nature violates the ``non-repudiation{''} requirement    of digital signatures. To solve the key escrow problem of the IBS while    still taking advantage of the benefits of the IBS, certificateless    digital signature (CDS) was introduced. In this paper, we propose a    generalized approach to construct CDS schemes. In our proposed CDS    scheme, the user's private key is known only to the user himself,    therefore, it can eliminate the key escrow problem from the PKG. The    proposed construction can be applied to all Discrete Logarithm    (DL)-based signature schemes to convert a digital signature scheme into    a CDS scheme. The proposed CDS scheme is secure against adaptive    chosen-message attack in the random oracle model. In addition, it is    also efficient in signature generation and verification. (C) 2008    Elsevier Inc. All rights reserved.",ELSEVIER SCIENCE INC,"360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA",Article,English,"Ren, J (Corresponding Author), Michigan State Univ, Dept Elect \& Comp Engn, E Lansing, MI 48864 USA.    Ren, Jian, Michigan State Univ, Dept Elect \& Comp Engn, E Lansing, MI 48864 USA.    Harn, Lein, Univ Missouri, Dept Comp Sci \& Elect Engn, Kansas City, MO 64110 USA.    Lin, Changlu, Chinese Acad Sci, Grad Univ, State Key Lab Informat Secur, Beijing 100049, Peoples R China.    Lin, Changlu, Fujian Normal Univ, Key Lab Network Secur \& Cryptol, Fuzhou 350007, Fujian, Peoples R China.",10.1016/j.jss.2008.11.844,0164-1212,1873-1228,ID-based cryptosystem; ID-based signature; Provable security; Key    escrow; Certificateless digital signature,Computer Science,"Computer Science, Software Engineering; Computer Science, Theory \&    Methods",article,WOS:000265318300005,,,,,,IDENTITY-BASED SIGNATURE; GENERIC CONSTRUCTION; SECURITY PROOFS;    DIFFIE-HELLMAN; SCHEME; EFFICIENT; PAIRINGS; MODEL,,,,,,,,,,,,,,,
USENIX Assoc,Secure mobile code execution service,,2006,,,53-62,,"Mobile code refers to programs that come into a host computer over the    network and start to execute with or without a user's knowledge or    consent. Because these programs run in the execution context of the user    that downloads them, they can issue any system calls that the user is    allowed to make, and thus pose a serious security threat when they are    malicious. Although many solutions have been proposed to solve the    malicious mobile code problem, none of them are truly effective at    striking a good balance between defeating zero-day attacks and    minimizing disruption to the execution of legitimate applications.    This paper describes a commercial system called SEES that secures the    execution of mobile code that comes into a host computer as an email    attachment or as a web document downloaded through an anchor link by    running them on a separate guinea pig machine rather than on the user    machine. Effectively, it takes an isolation approach to the secure    mobile code execution problem. As a result, SEES guarantees that no    malicious email attachments or web documents that act on behalf of the    user that downloads them, can damage the resources of the user machine,    or can leak any confidential information. In particular, even zero-day    virus cannot cause any harms. We present the design, implementation and    evaluation of SEES on the Windows platform, and contrast it with other    existing approaches to the same problem.",USENIX ASSOC,"SUITE 215, 2560 NINTH ST, BERKELEY, CA 94710 USA",Proceedings Paper,English,,,,,,Computer Science,"Computer Science, Information Systems",inproceedings,WOS:000245428400005,,LISA 06: USENIX ASSOCIATION PROCEEDINGS OF THE 20TH LARGE INSTALLATION    SYSTEM ADMINISTRATION CONFERENCE,,"20th Large Installation System Administration Conference (LISA 06),    Washington, DC, DEC 03-08, 2006",978-1-931971-48-5,,USENIX Assoc,,,,,,,,,,,,,,
"Bansal, Rishi and Jezrawi, Rita and Greenwald, Ari and Sandhanwalia,    Simerpreet and Luo, Emmy and Greenwald, Ilana and Saeed, Humaira and    Mondoux, Shawn and Chan, Teresa and Lokker, Cynthia",Frontline connect: Evaluating a virtual technology program to enhance    patient and provider communication during COVID-19,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,2022,28,4,641-649,AUG,"Rationale Since the beginning of the COVID-19 pandemic, many hospitals    have reduced in-hospital visitation. In these situations, virtual    communication tools have helped maintain interaction between parties.    The Frontline Connect program was designed to address communication and    patient care challenges by providing data-enabled devices to clinical    staff in hospitals. Objective This study aimed to identify areas of    improvement for the Frontline Connect program by: (a) evaluating    communication needs, user experience, and program satisfaction; and (b)    identifying potential barriers to device access or use. Methods We    administered pre-implementation needs assessment, post-use, and exit    surveys to healthcare staff at a pilot hospital site in Ontario.    Recruitment was through email lists and site champions using convenience    sampling. We descriptively analysed survey responses and compared the    initial need statements to post-implementation use-cases identified by    users. Results We received 139 needs assessments, 31 user experience    assessments, and 47 exit survey responses. Most device use occurred in    the emergency department and intensive care units and was facilitated by    social workers, nurses, and physicians to connect patients, families,    and care providers. Pre-implementation concerns were related to    infection control, data security, and device privacy. In the exit    survey, these were replaced by other concerns including Internet    connectivity and time-intensiveness. Device utility and ease-of-use were    rated 9.7/10 and 9.6/10 respectively in the user experience survey,    though overall experience was rated 7.2/10 in the exit survey. Overall,    respondents viewed the devices as useful and we agree with participants    who suggested increased program promotion and training would likely    improve adoption. Conclusions We found that our virtual technology    program for facilitating communication was positively perceived. Survey    feedback indicates that a rapid rollout in response to urgent    pandemic-related needs was feasible, though program logistics could be    improved. The current work supports the need to improve, standardize,    and sustain virtual communication programs in hospitals.",WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",Article,English,"Bansal, R; Lokker, C (Corresponding Author), McMaster Univ, Fac Hlth Sci, Michael G DeGroote Sch Med, 1280 Main St W,CRL 137, Hamilton, ON L8S 4K1, Canada.    Bansal, Rishi, McMaster Univ, Fac Hlth Sci, Michael G DeGroote Sch Med, 1280 Main St W,CRL 137, Hamilton, ON L8S 4K1, Canada.    Jezrawi, Rita; Lokker, Cynthia, McMaster Univ, Dept Hlth Res Methods Evidence \& Impact, Hlth Informat Res Unit, Hamilton, ON, Canada.    Greenwald, Ari; Sandhanwalia, Simerpreet; Mondoux, Shawn; Chan, Teresa, McMaster Univ, Dept Med, Div Emergency Med, Hamilton, ON, Canada.    Luo, Emmy, Cornell Univ, Coll Vet Med, Ithaca, NY 14853 USA.    Greenwald, Ilana; Saeed, Humaira, Univ Toronto, Dept Family \& Community Med, Toronto, ON, Canada.    Saeed, Humaira, McMaster Univ, Dept Family Med, Div Palliat Care, Hamilton, ON, Canada.",10.1111/jep.13650,1356-1294,1365-2753,evaluation; healthcare; medical research; patient-centred care,Health Care Sciences \& Services; Medical Informatics; General \&    Internal Medicine,"Health Care Sciences \& Services; Medical Informatics; Medicine, General    \& Internal",article,WOS:000736423700001,,,,,,CONDUCT,,,,,,,,,,,,,,DEC 2021,
IEEE COMP SOC    IEEE COMP SOC    IEEE COMP SOC,Using type enforcement to assure a configurable guard,,1997,,BK08D,146-153,,"Prior to the introduction of guard systems for electronic mail, guards    tended to be overly specialized and not versatile enough for today's    user community. This paper examines the use of Type Enforcement to    create a highly assured yet administrator configurable guard. The    administrator must be able to trust that the configuration provided will    indeed be followed. This occurs by using highly assured or trusted    components. These trusted components are then linked together via Type    Enforcement to form a pipeline, with one input channel for data to enter    the guard, and one separate, connected output channel for data to exit    the guard. These channels are connected via assured processes whose    behavior is restricted by the Type Enforcement mechanism. Furthermore,    Type Enforcement is also used to isolate many components of the guard,    which simplifies the assurance arguments. This technology is applied in    the latest operational guards developed by Secure Computing Corporation.",IEEE COMPUTER SOC,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",Proceedings Paper,English,"Greve, P (Corresponding Author), Secure Comp Corp, 2675 Long Lake Rd, Roseville, NSW 55113, Australia.    Secure Comp Corp, Roseville, NSW 55113, Australia.",10.1109/CSAC.1997.646187,,,,Computer Science,"Computer Science, Information Systems; Computer Science, Theory \&    Methods",inproceedings,WOS:000071092600015,,"13TH ANNUAL COMPUTER SECURITY APPLICATIONS CONFERENCE, PROCEEDINGS",,"13th Annual Computer Security Applications Conference, SAN DIEGO, CA,    DEC 08-12, 1997",0-8186-8274-4,,IEEE; Appl Comp Secur Assoc; ACM Special Interest Grp Secur Audit \&    Control,,0,2,0,0,,Conference Proceedings Citation Index - Science (CPCI-S),WOS:000071092600015,2025-07-09,,,,,
"Li, Zhetao and Xiao, Yong and Liu, Haolin and Liao, Xiaofei and Yuan, Ye    and Du, Junzhao",Dynamic Graph Publication With Differential Privacy Guarantees for    Decentralized Applications,IEEE TRANSACTIONS ON COMPUTERS,2025,74,5,1771-1785,MAY,"Decentralized Applications (DApps) have garnered significant attention    due to their decentralization, anonymity, and data autonomy. However,    these systems face potential privacy challenge. The privacy challenge    arises from the necessity for external service providers to collect and    process user interaction data. The untrustworthiness of these providers    may lead to privacy breaches, compromising the overall security of such    DApp environments. To address this challenge, we model the interaction    data in the DApp environments as dynamic graphs and propose a dynamic    graph publication method named HMG (Hidden Markov Model for Dynamic    Graphs). HMG estimates the interaction probabilities between users by    extracting the temporal information from historically collected data and    constructs an optimized model to generate synthetic graphs. The    synthetic graphs can preserve the dynamic topological characteristics of    the interaction processes within DApp environments while effectively    protecting user privacy, thus assisting external service providers in    performing effective analyses. Finally, we evaluate the performance of    HMG using real-world datasets and benchmark it against commonly used    graph metrics. The results demonstrate that the synthetic graphs    preserve essential features, making them suitable for analysis by    service providers.",IEEE COMPUTER SOC,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1314 USA",Article,English,"Liu, HL (Corresponding Author), Xiangtan Univ, Sch Comp Sci, Xiangtan 411105, Peoples R China.    Li, Zhetao; Xiao, Yong, Jinan Univ, Coll Informat Sci \& Technol, Guangzhou 510632, Peoples R China.    Liu, Haolin, Xiangtan Univ, Sch Comp Sci, Xiangtan 411105, Peoples R China.    Liao, Xiaofei, Huazhong Univ Sci \& Technol, Sch Comp Sci \& Technol, Wuhan 430074, Peoples R China.    Yuan, Ye, Beijing Inst Technol, Sch Comp Sci \& Technol, Beijing 100091, Peoples R China.    Du, Junzhao, Xidian Univ, Sch Comp Sci \& Technol, Xian 710071, Peoples R China.",10.1109/TC.2025.3543605,0018-9340,1557-9956,Decentralized applications; Privacy; Hidden Markov models; Computers;    Protection; Heuristic algorithms; Vectors; Servers; Faces; Electronic    mail; Graph publication; local differential privacy; hidden Markov    model; DApp,Computer Science; Engineering,"Computer Science, Hardware \& Architecture; Engineering, Electrical \&    Electronic",article,WOS:001463492900003,,,,,,,,,,,,,,,,,,,,,
"Resnik, David B. and Finn, Peter R.",Ethics and Phishing Experiments,SCIENCE AND ENGINEERING ETHICS,2018,24,4,1241-1252,AUG,"Phishing is a fraudulent form of email that solicits personal or    financial information from the recipient, such as a password, username,    or social security or bank account number. The scammer may use the    illicitly obtained information to steal the victim's money or identity    or sell the information to another party. The direct costs of phishing    on consumers are exceptionally high and have risen substantially over    the past 12 years. Phishing experiments that simulate real world    conditions can provide cybersecurity experts with valuable knowledge    they can use to develop effective countermeasures and prevent people    from being duped by phishing emails. Although these experiments    contravene widely accepted informed consent requirements and involve    deception, we argue that they can be conducted ethically if risks are    minimized, confidentiality and privacy are protected, potential    participants have an opportunity to opt out of the research before it    begins, and human subjects are debriefed after their participation ends.",SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",Article,English,"Resnik, DB (Corresponding Author), NIEHS, NIH, 111 Alexander Dr, Res Triangle Pk, NC 27709 USA.    Resnik, David B., NIEHS, NIH, 111 Alexander Dr, Res Triangle Pk, NC 27709 USA.    Finn, Peter R., Indiana Univ, Dept Psychol \& Brain Sci, Bloomington, IN USA.",10.1007/s11948-017-9952-9,1353-3452,1471-5546,Phishing; Cybersecurity; Human experimentation; Ethics; Informed    consent; Deception; Debriefing,Social Sciences - Other Topics; Engineering; History \& Philosophy of    Science; Science \& Technology - Other Topics; Philosophy,"Ethics; Engineering, Multidisciplinary; History \& Philosophy Of    Science; Multidisciplinary Sciences; Philosophy",article,WOS:000441713600012,,,,,,DECEPTIVE RESEARCH; PSYCHOLOGICAL EXPERIMENTS; INFORMED-CONSENT; OPT-OUT,,,,,,,,,,,,,,,
"Al Badawi, Ahmad and Hoang, Louie and Mun, Chan Fook and Laine, Kim and    Aung, Khin Mi Mi",PrivFT: Private and Fast Text Classification With Homomorphic Encryption,IEEE ACCESS,2020,8,,226544-226556,,"We present an efficient and non-interactive method for Text    Classification while preserving the privacy of the content using Fully    Homomorphic Encryption (FHE). Our solution (named Private Fast Text    (PrivFT)) provides two services: 1) making inference of encrypted user    inputs using a plaintext model and 2) training an effective model using    an encrypted dataset. For inference, we use a pre-trained plaintext    model and outline a system for homomorphic inference on encrypted user    inputs with zero loss to prediction accuracy compared to the    non-encrypted version. In the second part, we show how to train a    supervised model using fully encrypted data to generate an encrypted    model. For improved performance, we provide a GPU implementation of the    Cheon-Kim-Kim-Song (CKKS) FHE scheme that shows 1 to 2 orders of    magnitude speedup against existing implementations. We build PrivFT on    top of our FHE engine in GPUs to achieve a run time per inference of    0.17 seconds for various Natural Language Processing (NLP) public    datasets. Training on a relatively large encrypted dataset is more    computationally intensive requiring 5.04 days.",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",Article,English,"Al Badawi, A (Corresponding Author), ASTAR, Inst Infocomm Res, Singapore 138632, Singapore.    Al Badawi, Ahmad; Mun, Chan Fook; Aung, Khin Mi Mi, ASTAR, Inst Infocomm Res, Singapore 138632, Singapore.    Hoang, Louie, Inferati Inc, Bellevue, WA 98033 USA.    Laine, Kim, Microsoft Res, Redmond, WA 98052 USA.",10.1109/ACCESS.2020.3045465,2169-3536,,Cryptography; Training; Cloud computing; Electronic mail; Computational    modeling; Data models; Encryption; Cryptography; data privacy; data    security; homomorphic encryption; natural language processing; graphics    processors,Computer Science; Engineering; Telecommunications,"Computer Science, Information Systems; Engineering, Electrical \&    Electronic; Telecommunications",article,WOS:000604577900001,,,,,,,,,,,,,,,,,,,,,
"Johnstad, Petter Grahl",User perceptions of mental health consequences of hallucinogen use in    self-identified spiritual contexts,NORDIC STUDIES ON ALCOHOL AND DRUGS,2015,32,6,545-562,DEC,"AIMS - The article aims to gain insight into the private worlds of users    of hallucinogenic drugs in spiritual contexts, with a focus on the    self-perceived mental health implications of their practices. This will    help us understand the rationale behind and consequences of    hallucinogenic drug use. METHOD - Respondents were recruited at several    internet fora for individual email-mediated interviews (n = 5) or group    interviews in public discussion threads (n = 11). They were    predominantly males in their 30s or 40s with stable jobs and living    conditions and extensive hallucinogen experience. RESULTS - Both    positive and adverse consequences were assessed, and respondents    emphasised the capacity of hallucinogenic drugs for healing and personal    growth; even adverse experiences ({''}bad trips{''}) were regarded as    valuable for these purposes. The dependence potential of these drugs was    regarded as low because of an inherent self-regulatory mechanism whereby    positive effects disappear with overuse. A minority of participants    reported mental health problems that may result from their hallucinogen    use, but the majority have experienced no significant adverse reactions    after many years of use. This should be seen in light of the low    frequency of their hallucinogen use. CONCLUSION - The study obtained    evidence of a predominantly male group of mature users taking    hallucinogens in carefully prepared sessions for the purpose of personal    spiritual growth, acknowledging some risks but also several benefits    from this practice.",SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",Article,English,"Johnstad, PG (Corresponding Author), Univ Bergen, N-5020 Bergen, Norway.    Johnstad, Petter Grahl, Univ Bergen, N-5020 Bergen, Norway.",10.1515/nsad-2015-0053,1455-0725,1458-6126,hallucinogens; psychedelics; spirituality; dependence; adverse effects;    qualitative; interview,Substance Abuse,Substance Abuse,article,WOS:000367469700002,,,,,,MYSTICAL-TYPE EXPERIENCES; DEFAULT MODE; DRUG-USERS; PSILOCYBIN;    PERSPECTIVES; RELIGION; CANCER; SAFETY; YOUTH; HARMS,,,,,,,,,,,,,,,
"Bronte, Robert and Shahriar, Hossain and Haddad, Hisham M.",A Signature-Based Intrusion Detection System for Web Applications based    on Genetic Algorithm,,2016,,,32-39,,"Web application attacks are an extreme threat to the world's information    technology infrastructure. A web application is generally defined as a    client-server software application where the client uses a user    interface within a web browser. Most users are familiar with web    application attacks. For instance, a user may have received a link in an    email that led the user to a malicious website. The most widely accepted    solution to this threat is to deploy an Intrusion Detection System    (IDS). Such a system currently relies on signatures of the predefined    set of events matching with attacks. Issues still arise as all possible    attack signatures may not be defined before deploying an IDS. Attack    events may not fit with the pre-defined signatures. Thus, there is a    need to detect new types of attacks with a mutated signature based    detection approach. Most traditional literature works describe signature    based IDSs for application layer attacks, but several works mention that    not all attacks can be detected. It is well known that many security    threats can be related to software or application development and design    or implementation flaws. Given that fact, this work expands a new method    for signature based web application layer attack detection. We apply a    genetic algorithm to analyze web server and database logs and the log    entries. The work contributes to the development of a mutated signature    detection framework. The initial results show that the suggested    approach can detect specific application layer attacks such as    Cross-Site Scripting, SQL Injection and Remote File Inclusion attacks.",ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",Proceedings Paper,English,"Bronte, R (Corresponding Author), Kennesaw State Univ, Kennesaw, GA 30144 USA.    Bronte, Robert; Shahriar, Hossain; Haddad, Hisham M., Kennesaw State Univ, Kennesaw, GA 30144 USA.",10.1145/2947626.2951964,,,Intrusion detection system; application layer attacks signatures;    genetic algorithm; mutation; log analysis; cross over; selection,Computer Science,"Computer Science, Information Systems; Computer Science,    Interdisciplinary Applications; Computer Science, Theory \& Methods",inproceedings,WOS:000525734200006,"Shahriar, H and Vaidya, J and Elci, A",SECURITY OF INFORMATION AND NETWORKS (SIN'16),,"9th International Conference on Security of Information and Networks    (SIN), Rutgers Univ, NJ, JUL 20-22, 2016",978-1-4503-4764-8,,Kennesaw State Univ; So Fed Univ; Univ Glasgow; Aksaray Univ; Malaviya    Natl Inst Technol; Macquarie Univ,,,,,,,,,,,,,,
"Cafaro, Teresa and LaRiccia, Patrick J. and Bandomer, Brigid and    Goldstein, Helen and Brobyn, Tracy L. and Hunter, Krystal and Roy,    Satyajeet and Ng, Kevin Q. and Mitrev, Ludmil V. and Tsai, Alan and    Thwing, Denise and Maag, Mary Ann and Chung, Myung K. and van Helmond,    Noud",Remote and semi-automated methods to conduct a decentralized randomized    clinical trial,JOURNAL OF CLINICAL AND TRANSLATIONAL SCIENCE,2023,7,e153,,JUN 7,"Introduction:Designing and conducting clinical trials is challenging for    some institutions and researchers due to associated time and personnel    requirements. We conducted recruitment, screening, informed consent,    study product distribution, and data collection remotely. Our objective    is to describe how to conduct a randomized clinical trial using remote    and automated methods. Methods:A randomized clinical trial in healthcare    workers is used as a model. A random group of workers were invited to    participate in the study through email. Following an automated process,    interested individuals scheduled consent/screening interviews. Enrollees    received study product by mail and surveys via email. Adherence to study    product and safety were monitored with survey data review and via    real-time safety alerts to study staff. Results:A staff of 10 remotely    screened 406 subjects and enrolled 299 over a 3-month period. Adherence    to study product was 87\%, and survey data completeness was 98.5\% over    9 months. Participants and study staff scored the System Usability Scale    93.8\% and 90\%, respectively. The automated and remote methods allowed    the study maintenance period to be managed by a small study team of two    members, while safety monitoring was conducted by three to four team    members. Conception of the trial to study completion was 21 months.    Conclusions:The remote and automated methods produced efficient subject    recruitment with excellent study product adherence and data    completeness. These methods can improve efficiency without sacrificing    safety or quality. We share our XML file for researchers to use as a    template for learning purposes or designing their own clinical trials.",CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND",Article,English,"Mitrev, LV (Corresponding Author), Cooper Univ Hlth Care, Dept Anesthesiol, Camden, NJ 08103 USA.    Mitrev, LV (Corresponding Author), Rowan Univ, Cooper Med Sch, Camden, NJ 08102 USA.    Cafaro, Teresa; Mitrev, Ludmil V.; van Helmond, Noud, Cooper Univ Hlth Care, Dept Anesthesiol, Camden, NJ 08103 USA.    Cafaro, Teresa; Hunter, Krystal, Cooper Univ Hlth Care, Cooper Res Inst, Camden, NJ USA.    Cafaro, Teresa; LaRiccia, Patrick J.; Bandomer, Brigid; Goldstein, Helen; Brobyn, Tracy L.; Ng, Kevin Q.; Thwing, Denise; Maag, Mary Ann; Chung, Myung K., Won Sook Chung Fdn, Moorestown, NJ USA.    LaRiccia, Patrick J., Univ Penn, Ctr Clin Epidemiol \& Biostat, Perelman Sch Med, Philadelphia, PA USA.    Brobyn, Tracy L.; Ng, Kevin Q.; Chung, Myung K., Chung Inst Integrat Med, Moorestown, NJ USA.    Brobyn, Tracy L.; Hunter, Krystal; Roy, Satyajeet; Mitrev, Ludmil V.; Tsai, Alan; Chung, Myung K., Rowan Univ, Cooper Med Sch, Camden, NJ 08102 USA.    Brobyn, Tracy L., Rowan Univ, Sch Osteopath Med, Stratford, NJ USA.    Roy, Satyajeet, Cooper Univ Hlth Care, Div Gen Internal Med, Camden, NJ USA.    Ng, Kevin Q., Cooper Univ Hlth Care, Div Infect Dis, Camden, NJ USA.    Chung, Myung K., Cooper Univ Hlth Care, Dept Family Med, Camden, NJ USA.",10.1017/cts.2023.574,,2059-8661,Randomized clinical trial; remote methods; internet methods; electronic    data capture; RCT; REDCap; decentralized,Research \& Experimental Medicine,"Medicine, Research \& Experimental",article,WOS:001024761200001,,,,,,VITAMIN-D,,,,,,,,,,,,,,,
ACM,Interactive Multi-Credential Authentication,,2024,,,408-422,,"Authentication is the first, crucial step in securing digital assets    like cryptocurrencies and online services like banking. It relies on    principals maintaining exclusive access to credentials like    cryptographic signing keys, passwords, and physical devices. But both    individuals and organizations struggle to manage their credentials,    resulting in loss of assets and identity theft.    In this work, we study mechanisms with back-and-forth interaction with    the principals. For example, a user receives an email notification about    sending money from her bank account and is given a period of time to    abort.    We define the authentication problem, where a mechanism interacts with a    user and an attacker. A mechanism's success depends on the    scenario-which credentials each principal knows. The profile of a    mechanism is the set of scenarios in which it succeeds. The subset    relation on profiles defines a partial order on mechanisms. We bound the    profile size and discover three types of novel mechanisms that are    maximally secure.    We show the efficacy of our model by analyzing existing mechanisms and    make concrete improvement proposals: Using ``sticky{''} messages for    security notifications, prioritizing credentials when accessing one's    bank account, and using one of our maximal mechanisms to improve a    popular cryptocurrency wallet. We demonstrate the practicality of our    mechanisms by implementing the latter.",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES",Proceedings Paper,English,"Maram, D (Corresponding Author), Cornell Tech, Mysten Labs, New York, NY 10044 USA.    Maram, Deepak, Cornell Tech, Mysten Labs, New York, NY 10044 USA.    Kelkar, Mahimna, Cornell Tech, New York, NY USA.    Eyal, Ittay, Technion, Haifa, Israel.",10.1145/3658644.3670378,,,authentication; interactive protocols; synchronous networks,Computer Science; Telecommunications,"Computer Science, Artificial Intelligence; Computer Science, Hardware \&    Architecture; Computer Science, Theory \& Methods; Telecommunications",inproceedings,WOS:001436367300030,,"PROCEEDINGS OF THE 2024 ACM SIGSAC CONFERENCE ON COMPUTER AND    COMMUNICATIONS SECURITY, CCS 2024",,"31st Conference on Computer and Communications Security, Salt Lake City,    UT, OCT 14-18, 2024",979-8-4007-0636-3,PASSWORDS,Google LLC; Huawei Technologies Co Ltd; Tiktok Pte Ltd; Microsoft; Cisco    Technology Inc; Input/Output Inc,,,,,,,,,,,,,,
Usenix Association,MediaAlert - A broadcast video monitoring and alerting system for mobile    users,,2005,,,25-38,,"We present a system for automatic monitoring and timely dissemination of    multimedia information to a range of mobile information appliances based    on each user's interest profile. Multimedia processing algorithms detect    and isolate relevant video segments from over twenty television    broadcast programs based on a collection of words and phrases specified    by the user. Content repurposing techniques are then used to convert the    information into a form that is suitable for delivery to the user's    mobile devices. Alerts are sent using a number of application messaging    and network access protocols including email, short message service    (SMS), multimedia messaging service (MMS), voice, session initiation    protocol (SIP), fax, and pager protocols. The system is evaluated with    respect to performance and user experiences. The MediaAlert system    provides an effective and low-cost solution for the timely generation of    alerts containing personal, business, and security information.",USENIX ASSOC,"SUITE 215, 2560 NINTH ST, BERKELEY, CA 94710 USA",Proceedings Paper,English,"AT\&T Labs Res, 180 Pk Ave, Florham Pk, NJ 07932 USA.    AT\&T Labs Res, Florham Pk, NJ 07932 USA.",10.1145/1067170.1067174,,,mobile devices; multimedia processing; content repurposing; content    adaptation; service platform; news monitoring; automatic speech    recognition (ASR); multimedia messaging; alerting; notification,Telecommunications,Telecommunications,inproceedings,WOS:000230943400003,,"PROCEEDINGS OF THE THIRD INTERNATIONAL CONFERENCE ON MOBILE SYSTEMS,    APPLICATIONS, AND SERVICES (MOBISYS 2005)",,"3rd International Conference on Mobile Systems, Applications and    Services (MobiSys 2005), Seattle, WA, JUN 06-08, 2005",1-931971-31-5,,USENIX Assoc; ACM SIGMOBILE; ACM SIGOPS,,,,,,,,,,,,,,
